description_sqft,description_baths_consolidated,location_address_state,location_county_name,description_type,location_address_city,description_lot_sqft,list_price,description_sold_price,description_beds
1008,1,New York,Albany,single_family,Colonie,6098,199900,123900,2
1600,2,New York,Albany,single_family,Albany,4356,165000,129100,4
1785,1.5,New York,Albany,single_family,Albany,7841,299000,229900,4
1290,1,New York,Albany,single_family,Albany,13068,149900,173000,3
4124,3.5,New York,Albany,single_family,Loudonville,43560,599000,925000,6
1200,2,New York,Albany,single_family,Colonie,13068,349997,245000,3
1922,2.5,New York,Albany,condos,Albany,436,399000,369000,2
1412,2,New York,Albany,single_family,Albany,10890,250000,70000,3
1548,2,New York,Albany,single_family,Albany,4356,229000,163500,3
2442,2.5,New York,Albany,multi_family,Albany,1307,220000,133000,4
630,1,New York,Albany,single_family,Albany,6534,164900,135000,2
1746,2,New York,Albany,single_family,Albany,14810,350000,96500,4
1224,2,New York,Albany,single_family,Albany,18295,344000,220000,4
1312,2,New York,Albany,single_family,Loudonville,22651,399000,200000,4
3316,3.5,New York,Albany,single_family,Albany,1742,464900,402000,4
2614,2.5,New York,Albany,single_family,Loudonville,4792,450000,175000,2
2566,3,New York,Albany,single_family,Loudonville,19166,625900,210000,4
1187,1.5,New York,Albany,single_family,Albany,4792,149000,54000,3
3392,3.5,New York,Albany,single_family,Albany,40946,749777,239000,4
945,1,New York,Albany,single_family,Albany,2178,109000,77000,3
4682,4.5,New York,Albany,single_family,Albany,34412,835000,628000,6
1036,2,New York,Albany,multi_family,Albany,436,162000,127500,2
1011,1.5,New York,Albany,single_family,Albany,4792,179900,163500,3
1340,1.5,New York,Albany,single_family,Albany,3049,187300,98500,3
1492,2,New York,Albany,multi_family,Albany,7841,183000,67500,4
1544,1.5,New York,Albany,single_family,Albany,9583,299000,192000,3
1294,1.5,New York,Albany,townhomes,Albany,436,219900,95000,3
1464,2.5,New York,Albany,townhomes,Albany,3049,284999,220000,3
2576,2.5,New York,Albany,multi_family,Albany,4356,299900,195000,4
2126,2,New York,Albany,multi_family,Albany,2614,74400,65000,6
3080,3.5,New York,Albany,multi_family,Albany,2614,339000,162500,4
2310,3,New York,Albany,multi_family,Albany,1742,192000,115000,4
1974,2,New York,Albany,multi_family,Albany,3049,269900,240000,7
1102,1.5,New York,Albany,single_family,Albany,2614,127118,80000,3
1847,2.5,New York,Albany,single_family,Albany,13068,309900,227000,3
1156,1.5,New York,Albany,single_family,Albany,2614,269000,127000,3
3295,5,New York,Albany,multi_family,Albany,2178,379900,39500,5
2686,2,New York,Albany,multi_family,Albany,5227,249900,90000,6
1200,1.5,New York,Albany,single_family,Albany,10890,259999,227000,3
1512,2,New York,Albany,multi_family,Albany,7841,300000,215000,3
2226,2,New York,Albany,multi_family,Albany,4792,325000,100500,5
2756,2,New York,Albany,multi_family,Albany,3920,249900,127000,6
2385,2.5,New York,Albany,townhomes,Albany,436,399900,259250,3
1279,2,New York,Albany,single_family,Albany,6098,279900,157900,2
1151,1.5,New York,Albany,single_family,Albany,4356,199900,80000,3
2083,2,New York,Albany,multi_family,Albany,2614,140000,20000,8
2280,2,New York,Albany,single_family,Albany,1307,300000,120000,3
1680,1.5,New York,Albany,single_family,Albany,2614,195000,179000,4
1450,1.5,New York,Albany,single_family,Albany,3920,194900,998250,3
1064,2,New York,Albany,multi_family,Albany,2614,159000,100000,4
1152,2.5,New York,Albany,single_family,Albany,1742,157500,12000,3
3174,3.5,New York,Albany,multi_family,Albany,2178,135000,100000,6
1730,2,New York,Albany,single_family,Albany,3049,189000,52500,3
1942,2,New York,Albany,multi_family,Albany,6534,255000,235000,5
1920,2.5,New York,Albany,single_family,Albany,14375,309000,150000,4
1020,1,New York,Albany,single_family,Albany,6098,280000,150000,3
4080,7,New York,Albany,multi_family,Albany,6970,740000,500000,16
1000,2,New York,Albany,single_family,Albany,7405,239900,162000,3
1480,2,New York,Albany,multi_family,Albany,1742,234900,27000,4
1428,1,New York,Albany,single_family,Albany,2178,99900,52500,4
1560,2,New York,Albany,single_family,Albany,4356,225000,165000,4
1061,1,New York,Albany,single_family,Albany,7405,209000,122000,2
2454,2,New York,Albany,multi_family,Albany,3485,239000,57500,7
2384,2,New York,Albany,multi_family,Albany,5227,199999,55000,6
2274,2,New York,Albany,single_family,Loudonville,9148,519900,232000,2
1178,1,New York,Albany,single_family,Albany,5227,229900,156000,2
1398,1.5,New York,Albany,single_family,Albany,5227,249900,120700,3
1715,1.5,New York,Albany,single_family,Albany,6098,309800,192200,3
1648,2,New York,Albany,multi_family,Albany,3920,189900,159500,4
3072,4,New York,Albany,multi_family,Albany,2178,315000,245000,6
1816,2,New York,Albany,multi_family,Albany,3049,140000,22500,5
1954,2,New York,Albany,multi_family,Albany,3920,130000,15000,6
2264,2,New York,Albany,multi_family,Albany,2178,295000,450000,8
2380,2,New York,Albany,multi_family,Albany,2614,170000,30003,6
1196,1.5,New York,Albany,single_family,Albany,3049,120000,20000,5
2208,2,New York,Albany,multi_family,Albany,1742,116000,20000,6
2592,4,New York,Albany,multi_family,Albany,1742,410000,350000,6
2400,2,New York,Albany,multi_family,Albany,2614,275000,185000,8
1670,2,New York,Albany,multi_family,Albany,3485,314900,100000,6
2072,2,New York,Albany,multi_family,Albany,4356,159999,80000,6
2664,2,New York,Albany,multi_family,Albany,1742,134444,65000,7
2400,2,New York,Albany,multi_family,Albany,1742,140000,31000,8
1631,1.5,New York,Albany,single_family,Albany,10019,359900,180000,3
1936,2,New York,Albany,multi_family,Albany,3049,140000,52000,6
2184,3,New York,Albany,single_family,Albany,7841,299000,30000,4
1746,2,New York,Albany,single_family,Albany,8276,319900,132000,3
1649,3,New York,Albany,single_family,Albany,4792,325000,207900,3
2200,2,New York,Albany,multi_family,Albany,3485,140000,25000,6
2828,2.5,New York,Albany,single_family,Albany,1307,399000,275000,4
